OBJECTID,ROUTE_ID,ROUTE_SHORT_NAME,ROUTE_LONG_NAME,SCHEDULE_START,SCHEDULE_END,SHAPE_Length
115,470,470,WESTMOUNT SS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,28460.9824429668
116,471,471,STEPHEN LEWIS SS VIA TEN OAKS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,11520.1457357688
117,473,473,STEPHEN LEWIS SS VIA THOMAS COOK,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,15329.7000599053
118,522,522,MARKHAM LOCAL,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,37810.473614544
119,601,blue,VIVA BLUE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,91030.1721962008
120,60102,blue B,VIVA BLUE B,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,27898.7342233747
121,603,purple,VIVA PURPLE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,40969.7752955581
122,60301,purple A,VIVA PURPLE A,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,44429.1316734632
123,605,orange,VIVA ORANGE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,39243.6186588729
124,607,yellow,VIVA YELLOW,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,11888.6631649747
125,811,811,AVIVA CHARTER 1,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,31352.4067699695
126,812,812,AVIVA CHARTER 2,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,26077.4121985308
127,813,813,AVIVA CHARTER 3,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,95242.5615842202
